date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-04-13,2025-04,平和島,1,2025-04-130401,9,28.04,skip_rate_ng,0,0,0,0,3280,123,0,0,0,,,,,展示後38%未満:NG(28.04%)
2025-04-13,2025-04,宮島,8,2025-04-131708,10,30.34,skip_rate_ng,0,0,0,0,8870,126,0,0,1,,,,,展示後38%未満:NG(30.34%)
2025-04-14,2025-04,津,4,2025-04-140904,1,31.94,skip_missing_exhibition,0,0,0,0,9130,321,0,0,1,,,,,展示/1周6艇未満
2025-04-14,2025-04,宮島,6,2025-04-141706,2,34.86,skip_rate_ng,0,0,0,0,4010,326,0,0,0,,,,,展示後38%未満:NG(34.86%)
2025-04-14,2025-04,平和島,3,2025-04-140403,3,30.07,skip_rate_ng,0,0,0,0,4040,124,0,0,0,,,,,展示後38%未満:NG(30.07%)
2025-04-14,2025-04,蒲郡,5,2025-04-140705,4,38.47,skip_subcore_conditions_ng,0,0,0,0,8930,465,0,0,1,,,,,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測9.9% / 1逃げ14.3% / 1逃げ失敗47.6% / 1展示+周平均との差-0.12 / 外頭2艇の2番手まで強い:NG(頭3,6,下限24.7) / 5/6絡み:OK / 内軸残り:NG(軸2) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2025-04-14,2025-04,戸田,1,2025-04-140201,5,30.39,skip_rate_ng,0,0,0,0,6910,145,0,0,1,,,,,展示後38%未満:NG(30.39%)
2025-04-14,2025-04,蒲郡,4,2025-04-140704,6,38.9,skip_subcore_conditions_ng,0,0,0,0,4320,524,0,0,0,,,,,"展示後38〜39.9%:OK(38.90%) / 1号艇危険:OK / 1AI予測22.4% / 1逃げ22.6% / 1逃げ失敗51.6% / 1展示+周平均との差0.22 / 外頭2艇の2番手まで強い:NG(頭5,4,下限25.7) / 5/6絡み:OK / 内軸残り:OK(軸2,1) / 軸ルール:AI3連対率+一般3連対率の1位と3位"
2025-04-14,2025-04,大村,4,2025-04-142404,7,35.73,skip_rate_ng,0,0,0,0,1750,215,0,0,0,,,,,展示後38%未満:NG(35.73%)
2025-04-14,2025-04,戸田,2,2025-04-140202,8,32.94,skip_rate_ng,0,0,0,0,6470,312,0,0,1,,,,,展示後38%未満:NG(32.94%)
